Название,Артикул,В наличии,Цена,Старая цена,Ссылка,Бренд,Модель
Jet Kid Start blue Умные детские часы,80235265,5,2310 руб,3550 руб,https://parsinger.ru/html/watch/1/1_1.html, Jet, Excidium
Фитнес- браслет BAND 6 FOREST GREEN FARA-B19 HUAWEI,80581842,15,5480 руб,8565 руб,https://parsinger.ru/html/watch/1/1_2.html, Huawei, Band 6 FRA-B19
Умные часы GT 3 MIL-B19S BLACK HUAWEI,8058184234,15,21810 руб,22565 руб,https://parsinger.ru/html/watch/1/1_3.html, Huawei, Band 6 FRA-B19
Умные часы GT 3 MIL-B19V BROWN HUAWEI,80615308,22,21810 руб,23800 руб,https://parsinger.ru/html/watch/1/1_4.html, Huawei, GT 3 MIL-B19V
Умные часы GT RUNNER-B19S BLACK HUAWEI,80616445,10,27770 руб,30170 руб,https://parsinger.ru/html/watch/1/1_5.html, Huawei, GT RUNNER-B19S
Умные часы GT RUNNER-B19A GREY HUAWEI,80616446,7,27770 руб,29000 руб,https://parsinger.ru/html/watch/1/1_6.html, Huawei, GT RUNNER-B19A
Умные часы GT 3 MIL-B19 GOLD HUAWEI,80616447,8,24230 руб,24480 руб,https://parsinger.ru/html/watch/1/1_7.html, Huawei, GT 3 MIL-B19
Умные часы WATCH 3 GALILEO-L11 STEEL HUAWEI, 80590693,18,32600 руб,32900 руб,https://parsinger.ru/html/watch/1/1_8.html, Huawei, Watch 3 Galileo-L21E
Умные часы GT 3 JPT-B19V BROWN HUAWEI,80609751,40,24230 руб,24480 руб,https://parsinger.ru/html/watch/1/1_9.html, Huawei, GT 3 JPT-B19V
Умные часы FIT ELEGANT TIA-B29 MIDNIGHT BLACK HUAWEI,80578978,32,11460 руб,11580 руб,https://parsinger.ru/html/watch/1/1_10.html, Huawei, Fit Elegant TIA-B29
Умные часы GT 2 MATTE BLACK LTN-B19 HUAWEI,80578980,17,15850 руб,16010 руб,https://parsinger.ru/html/watch/1/1_11.html, Huawei, Fit Elegant TIA-B29
Умные часы GT 2 PEBBLE BROWN LTN-B19 HUAWEI,8105728981,24,17070 руб,17250 руб,https://parsinger.ru/html/watch/1/1_12.html, Huawei, GT 2 LTN-B19V
Умные часы GT 2 PRO VID-B19 NEBULA GRAY HUAWEI,80581843,55,27770 руб,28050 руб,https://parsinger.ru/html/watch/1/1_13.html, Huawei, GT 2 Pro Vidar-B19V
Умные часы GT 2 PRO VID-B19 NIGHT BLACK HUAWEI,80581844,37,24230 руб,24480 руб,https://parsinger.ru/html/watch/1/1_14.html, Huawei, GT 2 Pro Vidar-B19S
Умные часы FIT ELEGANT TIA-B29 FROSTY WHITE HUAWEI,80578979,7,11460 руб,11580 руб,https://parsinger.ru/html/watch/1/1_15.html, Huawei, Fit Elegant TIA-B29
Умные часы FIT TIA-B09 GRAPHITE BLACK HUAWEI,80598423,21,9040 руб,9130 руб,https://parsinger.ru/html/watch/1/1_16.html, Huawei, Fit TIA-B09
Умные часы KIDS 4 PRO ASN-AL10 BLUE HUAWEI, 80605938,57,15850 руб,16850 руб,https://parsinger.ru/html/watch/1/1_17.html, Huawei, KIDS 4 PRO
Умные часы KIDS 4 PRO ASN-AL10 PINK HUAWEI,80605939,58,15850 руб,16010 руб,https://parsinger.ru/html/watch/1/1_18.html, Huawei, KIDS 4 PRO
GT 2 NIGHT BLACK DIANA-B19S HUAWEI,80605940,29,15850 руб,16010 руб,https://parsinger.ru/html/watch/1/1_19.html, Huawei, Watch GT 2 Diana-B19S
Умные часы GT 3 JPT-B19S BLACK HUAWEI,80609750,42,24230 руб,24480 руб,https://parsinger.ru/html/watch/1/1_20.html, Huawei, GT 3 JPT-B19S
Умные часы FIT TIA-B09 DISTILLED BLUE HUAWEI,80598422,21,9040 руб,9130 руб,https://parsinger.ru/html/watch/1/1_21.html, Huawei, Fit TIA-B09
Умные часы FIT TIA-B09 SAKURA PINK HUAWEI,80598424,20,9040 руб,9130 руб,https://parsinger.ru/html/watch/1/1_22.html, Huawei, Fit TIA-B09
Часы Medisana Шагомер ViFit Connect,8705336,55,4580 руб,4630 руб,https://parsinger.ru/html/watch/1/1_23.html, Medisana, ViFit Connect
Canyon - CNS-SW82BB,8025293634,20,4840 руб,4890 руб,https://parsinger.ru/html/watch/1/1_24.html, Canyon, CNS-SW82BB
Умные часы FLY BLACK G-SM16BLK GEOZON,80590694,29,3880 руб,3920 руб,https://parsinger.ru/html/watch/1/1_25.html, Geozon, G-SM16BLK
Canyon - CNS-SW81BG, 80468640,60,4510 руб,4560 руб,https://parsinger.ru/html/watch/1/1_26.html, Canyon, CNS-SW81BG
Умные часы MAGIC 2 BLACK 46MM MNS-B39 HONOR,80612714,41,11480 руб,11600 руб,https://parsinger.ru/html/watch/1/1_27.html, Honor, MNS-B39
Фитнес-браслет BAND FIT PLUS RED G-SM14RED GEOZON,80578938,26,3790 руб,3830 руб,https://parsinger.ru/html/watch/1/1_28.html, Geozon, G-SM14RED
Фитнес-браслет Mi Smart Band 6,80574754,26,4700 руб,5700 руб,https://parsinger.ru/html/watch/1/1_29.html, Xiaomi, G-SM14RED
"Смарт-часы Jet Kid Pinkie Pie 40мм 1.44"" TFT розовый",80350904,7,5140 руб,5190 руб,https://parsinger.ru/html/watch/1/1_30.html, Jet, Kid Pinkie Pie 40мм
"Смарт-часы Jet Sport SW-4C 1.54"" IPS серебристый (SW-4C SILVER)",80397648,17,4600 руб,4640 руб,https://parsinger.ru/html/watch/1/1_31.html, Jet, SW-4C
"Смарт-часы Jet Kid Optimus Prime 45мм 1.44"" TFT синий/красный",80350906,12,6050 руб,6110 руб,https://parsinger.ru/html/watch/1/1_32.html, Jet, Kid Optimus Prime 45мм
teXet TM-519R черный-красный Мобильный телефон,80397881,31,2490 руб,2520 руб,https://parsinger.ru/html/mobile/2/2_1.html, Texet, TM-519R
Мобильный телефон Fly Ezzy 3 белый,8579276,20,1070 руб,1080 руб,https://parsinger.ru/html/mobile/2/2_2.html, Fly, Ezzy 3
Телефон Nokia 150 DS TA-1235 (2020) Cyan,80548138,17,3130 руб,3160 руб,https://parsinger.ru/html/mobile/2/2_3.html, NOKIA, Ezzy 3
Мобильный телефон BQ 2430 Tank Power серебристый камуфляж,80350335,7,1920 руб,1940 руб,https://parsinger.ru/html/mobile/2/2_4.html, BQ, 2430 Tank Power
Мобильный телефон NOKIA 130 Dual Sim 2017 черный (A00028615),8694521,37,1550 руб,1820 руб,https://parsinger.ru/html/mobile/2/2_5.html, NOKIA, 130 Dual Sim 2017
Мобильный телефон Texet TM-B217 черный красный,80040225,5,1830 руб,1870 руб,https://parsinger.ru/html/mobile/2/2_6.html, Texet, TM-B217
NOKIA TA-1253,80548137,15,2020 руб,2220 руб,https://parsinger.ru/html/mobile/2/2_7.html, NOKIA, TA-1253
Мобильный телефон Texet 130-TM черный красный,80412207,60,1160 руб,1460 руб,https://parsinger.ru/html/mobile/2/2_8.html, Texet, 130-TM
Мобильный телефон NOKIA 105 SS TA-1203 синий, 80365450,30,1550 руб,1920 руб,https://parsinger.ru/html/mobile/2/2_9.html, NOKIA, 105 SS TA-1203
Мобильный телефон NOKIA 105 DS розовый, 80350339,30,1460 руб,1860 руб,https://parsinger.ru/html/mobile/2/2_10.html, NOKIA, 105 DS
TEXET TM-408 мобильный телефон цвет синий, 80594622,13,2740 руб,2940 руб,https://parsinger.ru/html/mobile/2/2_11.html, Texet, TM-408
Телефон NOKIA 105 Dual sim (2019) черный (16KIGB01A01), 8025946222,3,1740 руб,1940 руб,https://parsinger.ru/html/mobile/2/2_12.html, NOKIA, 105 Dual sim (2019)
Мобильный телефон Texet TM-204 красный, 80040222,7,1840 руб,1860 руб,https://parsinger.ru/html/mobile/2/2_13.html, Texet, TM-204
Телефон NOKIA 3310 Dual темно-синий, 80035628,77,3350 руб,3950 руб,https://parsinger.ru/html/mobile/2/2_14.html, NOKIA, 3310 Dual
Телефон NOKIA 3310 Dual жёлтый, 80035625,55,4910 руб,4950 руб,https://parsinger.ru/html/mobile/2/2_15.html, NOKIA, 3310 Dual
Мобильный телефон Texet 130-TM черный, 80246442,77,1130 руб,1530 руб,https://parsinger.ru/html/mobile/2/2_16.html, Texet, 130-TM
Мобильный телефон NOKIA 106 DS TA-1114 серый, 80246442,27,1720 руб,1590 руб,https://parsinger.ru/html/mobile/2/2_17.html, NOKIA, 106 DS TA-1114
Мобильный телефон Texet TM-513R черный оранжевый, 8813339,10,3630 руб,3730 руб,https://parsinger.ru/html/mobile/2/2_18.html, Texet, TM-513R
teXet TM-B226 черный-красный Мобильный телефон, 80140986,11,2690 руб,2920 руб,https://parsinger.ru/html/mobile/2/2_19.html, Texet, TM-B226
Мобильный телефон NOKIA 105 DS Blue синий,  80350338,8,1460 руб,1920 руб,https://parsinger.ru/html/mobile/2/2_20.html, NOKIA, 105 DS Blue
Мобильный телефон NOKIA 230 Dual Sim серый черный,   8843087,38,4320 руб,4520 руб,https://parsinger.ru/html/mobile/2/2_21.html, NOKIA, 230 Dual Sim
Мобильный телефон Alcatel 1066D белый,  80185430,25,2620 руб,2860 руб,https://parsinger.ru/html/mobile/2/2_22.html, Alcatel, 1066D
Мобильный телефон Philips Xenium E172 черный,  80587797,5,2700 руб,3000 руб,https://parsinger.ru/html/mobile/2/2_23.html, Philips, Xenium E172
Мобильный телефон Alcatel 3025X серый,  8035877917,35,6600 руб,6900 руб,https://parsinger.ru/html/mobile/2/2_24.html, Alcatel, 3025X
Мобильный телефон Philips Xenium E255 черный CTE255BK/00,80310838,19,3480 руб,3880 руб,https://parsinger.ru/html/mobile/2/2_25.html, Philips, Xenium E255
Мобильный телефон Texet TM-D429 антрацит,80365448,12,1930 руб,2130 руб,https://parsinger.ru/html/mobile/2/2_26.html, Texet, Xenium E255
Телефон Alcatel 2019G серый,80328164,32,4660 руб,5660 руб,https://parsinger.ru/html/mobile/2/2_27.html, Alcatel, 2019G
Мобильный телефон Alcatel OT-3025X серебристый,80213684,32,6600 руб,7160 руб,https://parsinger.ru/html/mobile/2/2_28.html, Alcatel, OT-3025X
Мобильный телефон Digma Linx A230WT 2G черный 2.31” Bluetooth,80220467,42,4100 руб,4660 руб,https://parsinger.ru/html/mobile/2/2_29.html, Digma, Linx A230WT 2G
Fly Ezzy Trendy 1,80365445,14,2030 руб,2410 руб,https://parsinger.ru/html/mobile/2/2_30.html, Fly, Linx A230WT 2G
Fly S240 Dark Grey,80388618,24,1600 руб,1990 руб,https://parsinger.ru/html/mobile/2/2_31.html, Fly, S240
Телефон NOKIA 3310 Dual серый,80035627,2,6510 руб,7010 руб,https://parsinger.ru/html/mobile/2/2_32.html, NOKIA, 3310 Dual
Проводная игровая мышь Vampire RGB,80563851,140,1610 руб,1710 руб,https://parsinger.ru/html/mouse/3/3_1.html, Defender, Vampire RGB
Defender Halo Z GM-430L,80244227,87,550 руб,1550 руб,https://parsinger.ru/html/mouse/3/3_2.html, Defender, Halo Z GM-430L
Мышь беспроводная Defender Shark 2 чёрный USB,80530370,65,1480 руб,1980 руб,https://parsinger.ru/html/mouse/3/3_3.html, Defender, Shark 2
Мышь проводная Defender sTarx GM-390L чёрный USB,80244229,55,730 руб,1230 руб,https://parsinger.ru/html/mouse/3/3_4.html, Defender, sTarx GM-390L
Defender Skull GM-180L чёрный USB,80039351,55,485 руб,985 руб,https://parsinger.ru/html/mouse/3/3_5.html, Defender, Skull GM-180L
Мышь проводная Defender Killer GM-170L чёрный USB 52170,80039353,15,550 руб,1550 руб,https://parsinger.ru/html/mouse/3/3_6.html, Defender, Killer GM-170L
Мышь проводная Defender Ghost GM-190L чёрный USB 52190,80039354,25,600 руб,1250 руб,https://parsinger.ru/html/mouse/3/3_7.html, Defender, Ghost GM-190L
Мышь проводная Defender Witcher GM-990 чёрный USB,80369131,25,730 руб,930 руб,https://parsinger.ru/html/mouse/3/3_8.html, Defender, Witcher GM-990
Logitech G305 LIGHTSPEED Wireless Gaming Mouse,80553232,25,8920 руб,10920 руб,https://parsinger.ru/html/mouse/3/3_9.html, Logitech, G305 LIGHTSPEED Wireless Gaming Mouse - LILAC
